Quotazioni Fantacalcio - aggiornamento automatico;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
2764;A;pc;Martinez L.;Inter;35;35;0;35;35;0;370;370
5585;A;pc;Malen;Roma;34;34;0;34;34;0;365;365
4871;A;pc;Thuram;Inter;29;29;0;29;29;0;280;280
6052;A;pc;Hojlund;Napoli;28;28;0;28;28;0;271;271
6397;A;pc;Ramos G.;Milan;27;27;0;27;27;0;240;240
5951;A;pc;Kolo Muani;Juventus;26;26;0;26;26;0;225;225
2097;A;pc;Kean;Fiorentina;25;25;0;25;25;0;212;212
6434;A;a;Yildiz;Juventus;23;23;0;24;24;0;200;205
7017;A;pc;Douvikas;Como;20;20;0;20;20;0;157;154
2137;A;pc;Scamacca;Atalanta;19;19;0;18;18;0;128;125
5637;A;pc;Davis K.;Udinese;19;19;0;19;19;0;121;121
6435;A;pc;Krstovic;Atalanta;18;18;0;17;17;0;100;97
4510;A;a;Leao;Milan;18;18;0;19;19;0;120;123
531;A;a;Berardi;Sassuolo;18;18;0;19;19;0;115;118
5995;A;a;De Ketelaere;Atalanta;17;17;0;18;18;0;106;108
6675;A;pc;Dovbyk;Bologna;16;16;0;16;16;0;84;81
7071;A;pc;Esposito F.P.;Inter;16;16;0;16;16;0;93;90
7023;A;pc;Pellegrino M.;Parma;15;15;0;15;15;0;81;79
6060;A;a;Laurientè;Sassuolo;15;15;0;16;16;0;88;91
2061;A;pc;Simeone;Torino;15;15;0;15;15;0;82;79
7351;A;w|a;Santos A.;Napoli;14;14;0;15;15;0;60;63
309;A;a;Dybala;Roma;14;14;0;15;15;0;67;67
6572;A;pc;Castro S.;Roma;14;14;0;13;13;0;83;80
4371;A;a;Raspadori;Atalanta;13;13;0;14;14;0;62;64
4463;A;a;Esposito Se.;Cagliari;13;13;0;14;14;0;50;50
4728;A;a;Nkunku;Milan;13;13;0;14;14;0;52;54
2038;A;pc;Pinamonti;Sassuolo;13;13;0;12;12;0;58;55
5734;A;a;Soulè;Roma;12;12;0;13;13;0;55;55
7484;A;pc;Adams A.;Venezia;12;12;0;11;11;0;52;50
6967;A;w|a;Diao;Como;11;11;0;12;12;0;50;52
4923;A;pc;Colombo;Genoa;11;11;0;10;10;0;63;60
5672;A;a;Dia;Lazio;10;10;0;11;11;0;31;33
7313;A;pc;Ratkov;Lazio;10;10;0;9;9;0;32;29
2531;A;pc;Lukaku;Napoli;10;10;0;9;9;0;45;41
7347;A;pc;Bowie;Sassuolo;10;10;0;9;9;0;39;36
6530;A;w|a;Ghedjemis;Frosinone;9;9;0;10;10;0;30;32
5544;A;pc;David;Juventus;9;9;0;8;8;0;40;37
5029;A;pc;Geubbels;Lecce;9;9;0;8;8;0;25;23
2155;A;pc;Cutrone;Monza;9;9;0;8;8;0;33;30
6646;A;a;Adams C.;Torino;9;9;0;10;10;0;32;34
6643;A;pc;Dallinga;Bologna;8;8;0;7;7;0;23;20
4359;A;pc;Piccoli;Fiorentina;8;8;0;7;7;0;24;21
6164;A;a;Vitinha O.;Genoa;8;8;0;8;8;0;20;21
6904;A;a;Yeboah J.;Venezia;8;8;0;8;8;0;28;29
7449;A;pc;Rrahmani Al.;Venezia;8;8;0;7;7;0;20;17
5436;A;pc;Raimondo;Frosinone;7;7;0;6;6;0;24;21
6669;A;pc;Bonny;Inter;7;7;0;6;6;0;21;18
7252;A;pc;Stulic;Lecce;7;7;0;6;6;0;18;16
608;A;pc;Zapata D.;Torino;7;7;0;6;6;0;18;16
5918;A;a;Sulemana K.;Atalanta;6;6;0;6;6;0;16;17
6598;A;pc;Mutandwa;Cagliari;6;6;0;6;6;0;19;18
2832;A;w|a;Boga;Juventus;6;6;0;7;7;0;25;28
6556;A;a;Noslin;Lazio;6;6;0;6;6;0;17;17
7008;A;pc;Gimenez;Milan;6;6;0;5;5;0;14;13
6831;A;w|a;Neres;Napoli;6;6;0;7;7;0;22;25
4896;A;t|a;Maldini;Atalanta;5;5;0;6;6;0;14;15
6519;A;pc;Camarda;Milan;5;5;0;4;4;0;18;17
5882;A;a;Mota;Monza;5;5;0;5;5;0;18;18
7213;A;a;Frigan;Parma;5;5;0;5;5;0;13;13
4387;A;pc;Adorante;Venezia;5;5;0;4;4;0;14;12
6243;A;pc;Borrelli;Cagliari;4;4;0;3;3;0;9;7
7374;A;pc;Mendy P.;Cagliari;4;4;0;3;3;0;9;7
313;A;pc;Morata;Como;4;4;0;3;3;0;10;8
6204;A;w|a;Kvernadze;Frosinone;4;4;0;5;5;0;15;16
7453;A;pc;Havel;Genoa;4;4;0;3;3;0;9;7
7162;A;a;Giovane;Napoli;4;4;0;4;4;0;10;10
7349;A;pc;Kulenovic;Torino;4;4;0;3;3;0;9;7
7272;A;pc;Gueye;Udinese;4;4;0;3;3;0;7;6
7128;A;w|a;Kuhn;Como;3;3;0;4;4;0;5;7
6822;A;a;Ekhator;Juventus;3;3;0;3;3;0;10;10
7001;A;w|a;N'Dri;Lecce;3;3;0;4;4;0;9;11
7523;A;pc;Varela G.;Monza;3;3;0;3;3;0;7;6
7120;A;a;Lang;Napoli;3;3;0;3;3;0;10;10
6215;A;pc;Lucca;Napoli;3;3;0;3;3;0;10;9
7342;A;pc;Elphege;Parma;3;3;0;3;3;0;11;10
383;A;pc;Petagna;Monza;2;2;0;2;2;0;5;5
7249;A;pc;Buksa;Udinese;2;2;0;2;2;0;4;4
7338;A;a;Albarracin;Cagliari;1;1;0;1;1;0;1;1
7317;A;pc;Trepy;Cagliari;1;1;0;1;1;0;2;2
7027;A;pc;Azon;Como;1;1;0;1;1;0;1;1
6981;A;pc;Vaz;Roma;1;1;0;1;1;0;4;3
7158;A;pc;Moro L.;Sassuolo;1;1;0;1;1;0;1;1
7161;A;pc;Bayo V.;Udinese;1;1;0;1;1;0;3;3
7408;A;w|a;Lisman;Venezia;1;1;0;1;1;0;1;1
7482;A;pc;Lauberbach;Venezia;1;1;0;1;1;0;1;1
