Quotazioni Fantacalcio - aggiornamento automatico;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
254;D;e|w;Dimarco;Inter;32;32;0;30;30;0;265;255
7181;D;e;Wesley;Roma;17;17;0;16;16;0;90;88
4159;D;dc;Akanji;Inter;16;16;0;16;16;0;55;55
2788;D;dc;Bremer;Juventus;15;15;0;15;15;0;50;50
2296;D;dc;Mancini;Roma;15;15;0;15;15;0;49;49
2120;D;dc;Bastoni;Inter;14;14;0;14;14;0;44;44
5022;D;dc;Pavlovic;Milan;14;14;0;14;14;0;48;48
4409;D;dc;Rrahmani;Napoli;14;14;0;14;14;0;47;47
4976;D;dd|dc;Kalulu;Juventus;13;13;0;14;14;0;46;48
4317;D;dc;N'Dicka;Roma;13;13;0;13;13;0;44;44
6956;D;dc;Solet;Udinese;13;13;0;13;13;0;46;46
2514;D;dc;Stones;Inter;12;12;0;12;12;0;38;38
5833;D;dc;Gila;Milan;12;12;0;12;12;0;31;31
2816;D;dd|e;Di Lorenzo;Napoli;12;12;0;12;12;0;40;40
5750;D;dc;Ostigard;Genoa;11;11;0;11;11;0;40;40
6217;D;dc;Bisseck;Inter;11;11;0;11;11;0;33;33
5526;D;dc;Scalvini;Atalanta;10;10;0;10;10;0;28;28
6869;D;dc;Ramon;Como;10;10;0;10;10;0;32;32
5885;D;dd|e;Dodò;Fiorentina;10;10;0;10;10;0;30;30
4807;D;dc;Hermoso;Roma;10;10;0;10;10;0;26;26
5514;D;ds|dc;Vasquez;Genoa;9;9;0;10;10;0;33;35
5520;D;dd|ds|e;Cambiaso;Juventus;9;9;0;10;10;0;27;30
6046;D;dc;Hien;Atalanta;8;8;0;8;8;0;16;16
554;D;dd|e;Zappacosta;Atalanta;8;8;0;8;8;0;24;24
6042;D;dc;Lucumì;Bologna;8;8;0;8;8;0;18;18
4734;D;ds|e;Miranda J.;Bologna;8;8;0;8;8;0;24;24
4210;D;dc;Mina;Cagliari;8;8;0;8;8;0;20;20
5365;D;dc;Dragusin;Fiorentina;8;8;0;8;8;0;27;27
6531;D;dd|ds|e;Jimenez A.;Fiorentina;8;8;0;9;9;0;23;25
6814;D;dd|e;Norton-Cuffy;Genoa;8;8;0;8;8;0;22;22
4657;D;b|dd|e;Celik;Juventus;8;8;0;9;9;0;21;23
6496;D;ds|e;Bartesaghi;Milan;8;8;0;8;8;0;25;25
5427;D;ds|e;Gutierrez *;Napoli;8;8;0;8;8;0;26;26
1852;D;ds|e;Spinazzola;Napoli;8;8;0;8;8;0;24;24
