Quotazioni Fantacalcio - aggiornamento automatico;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
5841;P;por;Svilar;Roma;18;18;0;18;18;0;65;65
5116;P;por;Martinez Jo.;Inter;17;17;0;17;17;0;63;63
4431;P;por;Carnesecchi;Atalanta;16;16;0;16;16;0;52;52
6966;P;por;Butez;Como;16;16;0;16;16;0;56;56
4312;P;por;Maignan;Milan;15;15;0;15;15;0;50;50
2521;P;por;De Gea;Fiorentina;13;13;0;13;13;0;45;45
572;P;por;Meret;Napoli;11;11;0;11;11;0;45;45
133;P;por;Skorupski;Bologna;10;10;0;10;10;0;37;37
4360;P;por;Caprile;Cagliari;9;9;0;9;9;0;27;27
5876;P;por;Di Gregorio;Juventus;9;9;0;9;9;0;40;40
6482;P;por;Mandas;Lazio;9;9;0;9;9;0;30;30
6462;P;por;Okoye;Udinese;9;9;0;9;9;0;29;29
7332;P;por;Bijlow;Genoa;8;8;0;8;8;0;18;18
2134;P;por;Falcone;Lecce;8;8;0;8;8;0;25;25
7411;P;por;Daffara;Parma;7;7;0;7;7;0;5;5
6641;P;por;Suzuki;Parma;7;7;0;7;7;0;20;20
4236;P;por;Muric;Sassuolo;7;7;0;7;7;0;15;15
218;P;por;Perin;Juventus;6;6;0;6;6;0;10;10
6248;P;por;Stankovic F.;Venezia;6;6;0;6;6;0;14;14
4485;P;por;Thiam;Monza;5;5;0;5;5;0;12;12
2170;P;por;Milinkovic-Savic V.;Napoli;5;5;0;5;5;0;10;10
6415;P;por;Palmisani;Frosinone;4;4;0;4;4;0;8;8
7463;P;por;Desplanches;Frosinone;2;2;0;2;2;0;8;8
2814;P;por;Provedel;Inter;2;2;0;2;2;0;5;5
2297;P;por;Rossi F. *;Atalanta;1;1;0;1;1;0;1;1
4;P;por;Sportiello;Atalanta;1;1;0;1;1;0;1;1
7533;P;por;Happonen;Bologna;1;1;0;1;1;0;1;1
7172;P;por;Pessina Mas.;Bologna;1;1;0;1;1;0;1;1
4929;P;por;Ciocci;Cagliari;1;1;0;1;1;0;1;1
6650;P;por;Sherri;Cagliari;1;1;0;1;1;0;1;1
7301;P;por;Tornqvist;Como;1;1;0;1;1;0;1;1
2809;P;por;Vigorito;Como;1;1;0;1;1;0;1;1
6403;P;por;Christensen O.;Fiorentina;1;1;0;1;1;0;1;1
158;P;por;Lezzerini;Fiorentina;1;1;0;1;1;0;1;1
7466;P;por;Lolic;Frosinone;1;1;0;1;1;0;1;1
219;P;por;Sommariva;Genoa;1;1;0;1;1;0;1;1
6569;P;por;Stolz;Genoa;1;1;0;1;1;0;1;1
1926;P;por;Di Gennaro;Inter;1;1;0;1;1;0;1;1
1930;P;por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
7337;P;por;Motta;Lazio;1;1;0;1;1;0;1;1
7534;P;por;Renzetti;Lazio;1;1;0;1;1;0;1;1
2401;P;por;Fruchtl *;Lecce;1;1;0;1;1;0;1;1
6523;P;por;Samooja;Lecce;1;1;0;1;1;0;1;1
2815;P;por;Terracciano;Milan;1;1;0;1;1;0;1;1
6813;P;por;Torriani;Milan;1;1;0;1;1;0;1;1
6682;P;por;Pizzignacco;Monza;1;1;0;1;1;0;1;1
7475;P;por;Strajnar;Monza;1;1;0;1;1;0;1;1
2845;P;por;Contini;Napoli;1;1;0;1;1;0;1;1
6662;P;por;Corvi;Parma;1;1;0;1;1;0;1;1
7048;P;por;De Marzi;Roma;1;1;0;1;1;0;1;1
610;P;por;Gollini;Roma;1;1;0;1;1;0;1;1
4518;P;por;Russo A.;Sassuolo;1;1;0;1;1;0;1;1
4867;P;por;Turati;Sassuolo;1;1;0;1;1;0;3;3
7457;P;por;Mascardi;Torino;1;1;0;1;1;0;1;1
5320;P;por;Paleari;Torino;1;1;0;1;1;0;1;1
7363;P;por;Siviero;Torino;1;1;0;1;1;0;1;1
543;P;por;Padelli;Udinese;1;1;0;1;1;0;1;1
5707;P;por;Piana;Udinese;1;1;0;1;1;0;1;1
6671;P;por;Grandi;Venezia;1;1;0;1;1;0;1;1
7531;P;por;Pozzi;Venezia;1;1;0;1;1;0;1;1
7545;P;por;Vismara;Atalanta;1;1;0;1;1;0;1;1
