Quotazioni Fantacalcio - aggiornamento automatico;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
6875;C;t|a;Paz N.;Como;30;30;0;28;28;0;250;250
4777;C;c|t;McTominay;Napoli;28;28;0;28;28;0;240;240
2194;C;m|c;Calhanoglu;Inter;27;27;0;28;28;0;230;260
2167;C;w|a;Orsolini;Bologna;26;26;0;25;25;0;200;200
2423;C;t|a;Pulisic;Milan;25;25;0;23;23;0;180;174
2379;C;c|t;Rabiot;Milan;22;22;0;22;22;0;128;128
7126;C;t;Baturina;Como;19;19;0;18;18;0;102;100
5559;C;c|t;Da Cunha;Como;18;18;0;18;18;0;90;90
2766;C;t|a;Zaniolo;Udinese;18;18;0;17;17;0;90;88
6908;C;c|t;Atta;Fiorentina;17;17;0;17;17;0;87;87
1870;C;c;Barella;Inter;17;17;0;17;17;0;82;82
4973;C;c;McKennie;Juventus;17;17;0;17;17;0;68;68
632;C;w|a;Zaccagni;Lazio;16;16;0;15;15;0;91;88
2517;C;t;De Bruyne;Napoli;15;15;0;14;14;0;100;94
5687;C;t;Vlasic;Torino;14;14;0;13;13;0;80;77
5800;C;t|a;Gudmundsson A.;Fiorentina;13;13;0;12;12;0;61;58
7314;C;c|t;Taylor K.;Lazio;13;13;0;13;13;0;64;64
5792;C;m|c;Ederson D.S.;Atalanta;12;12;0;13;13;0;45;48
5119;C;c|t;Samardzic;Atalanta;12;12;0;12;12;0;42;42
7129;C;w|a;Rodriguez Je.;Como;12;12;0;11;11;0;32;31
7436;C;w|t;Alajbegovic;Juventus;12;12;0;12;12;0;57;57
6884;C;w|a;Conceicao;Juventus;12;12;0;11;11;0;60;57
2606;C;m|c;Modric;Milan;12;12;0;13;13;0;50;60
6844;C;w|t;Rowe;Bologna;11;11;0;11;11;0;37;40
5823;C;t;Baldanzi;Genoa;11;11;0;10;10;0;30;27
4220;C;c;Zambo Anguissa;Napoli;11;11;0;11;11;0;55;55
6151;C;m|c;Perrone;Como;10;10;0;11;11;0;38;41
152;C;c;Zielinski;Inter;10;10;0;10;10;0;41;41
5562;C;c;Thuram K.;Juventus;10;10;0;10;10;0;41;41
4892;C;e|w;Saelemaekers;Milan;10;10;0;11;11;0;43;45
536;C;w;Politano;Napoli;10;10;0;9;9;0;47;43
5589;C;m|c;Konè M.;Roma;10;10;0;11;11;0;42;45
5844;C;c|t;Thorstvedt;Sassuolo;10;10;0;10;10;0;41;41
5888;C;c|t;Casadei;Torino;10;10;0;10;10;0;37;37
6684;C;c|t;Ekkelenkamp;Udinese;10;10;0;10;10;0;41;41
2077;C;c|t;Pasalic;Atalanta;9;9;0;9;9;0;32;32
184;C;w|t;Bernardeschi;Bologna;9;9;0;9;9;0;21;21
1933;C;c;Mandragora;Fiorentina;9;9;0;9;9;0;28;28
5500;C;w|a;Cancellieri;Lazio;9;9;0;8;8;0;28;26
6398;C;w|a;Isaksen;Lazio;9;9;0;8;8;0;25;23
6717;C;c;Konè I.;Sassuolo;9;9;0;9;9;0;20;20
2765;C;t;Odgaard;Bologna;8;8;0;7;7;0;22;20
4436;C;w|a;Cambiaghi;Bologna;8;8;0;7;7;0;25;25
4465;C;m|c;Fagioli;Fiorentina;8;8;0;9;9;0;23;25
6294;C;c;Ndour;Fiorentina;8;8;0;8;8;0;25;25
6274;C;e|c;Diouf;Inter;8;8;0;9;9;0;37;40
7070;C;c;Sucic P.;Inter;8;8;0;8;8;0;26;26
827;C;m|c;Locatelli;Juventus;8;8;0;9;9;0;32;35
5878;C;t;Colpani;Monza;8;8;0;7;7;0;25;22
7223;C;w|t;Vergara;Napoli;8;8;0;8;8;0;34;34
779;C;m|c;Cristante;Roma;8;8;0;9;9;0;29;32
4364;C;m|c;Gaetano;Atalanta;7;7;0;8;8;0;24;27
5858;C;m|c;Ferguson;Bologna;7;7;0;8;8;0;18;21
6010;C;c|t;Fazzini;Cagliari;7;7;0;8;8;0;19;21
7472;C;m|c;Calò;Frosinone;7;7;0;8;8;0;25;28
5791;C;m|c;Frendrup;Genoa;7;7;0;8;8;0;19;21
